date,temperature,humidity,luminosity
2022-11-10 15:23:03.544,23.4,26.9,105
2022-11-10 15:23:02.540,23.4,26.9,101
2022-11-10 15:23:01.265,23.4,27.0,106
2022-11-10 15:23:00.262,23.4,27.0,100
2022-11-10 15:22:58.984,23.4,27.0,105
2022-11-10 15:22:57.984,23.4,27.0,101
2022-11-10 15:22:56.707,23.3,27.0,105
2022-11-10 15:22:55.703,23.3,27.0,100
2022-11-10 15:22:54.429,23.4,27.0,100
2022-11-10 15:22:53.426,23.4,27.0,102
2022-11-10 15:22:52.148,23.3,27.0,100
2022-11-10 15:22:51.147,23.3,27.0,102
2022-11-10 15:22:49.869,23.4,27.1,104
2022-11-10 15:22:48.866,23.4,27.1,103
2022-11-10 15:22:47.592,23.3,27.0,103
2022-11-10 15:22:46.589,23.3,27.0,100
2022-11-10 15:22:45.311,23.3,27.1,103
2022-11-10 15:22:44.311,23.3,27.1,107
2022-11-10 15:22:43.032,23.3,27.0,106
2022-11-10 15:22:42.029,23.3,27.0,92
2022-11-10 15:22:40.755,23.4,27.0,92
2022-11-10 15:22:39.751,23.4,27.0,93
2022-11-10 15:22:38.473,23.3,27.1,92
2022-11-10 15:22:37.474,23.3,27.1,105
2022-11-10 15:22:36.195,23.3,27.0,105
2022-11-10 15:22:35.196,23.3,27.0,105
2022-11-10 15:22:33.917,23.3,27.1,104
2022-11-10 15:22:32.914,23.3,27.1,107
2022-11-10 15:22:31.640,23.3,27.1,106
2022-11-10 15:22:30.637,23.3,27.1,105
2022-11-10 15:22:29.359,23.3,27.1,106
2022-11-10 15:22:28.359,23.3,27.1,106
2022-11-10 15:22:27.081,23.3,27.1,105
2022-11-10 15:22:26.078,23.3,27.1,105
2022-11-10 15:22:24.803,23.3,27.0,108
2022-11-10 15:22:23.800,23.3,27.0,108
2022-11-10 15:22:22.522,23.3,27.0,107
2022-11-10 15:22:21.523,23.3,27.0,107
2022-11-10 15:22:20.244,23.3,27.0,107
2022-11-10 15:22:19.245,23.3,27.0,107
2022-11-10 15:22:17.966,23.4,27.0,106
2022-11-10 15:22:16.963,23.4,27.0,107
2022-11-10 15:22:15.689,23.3,27.0,106
2022-11-10 15:22:14.686,23.3,27.0,107
2022-11-10 15:22:13.408,23.3,27.0,106
2022-11-10 15:22:12.408,23.3,27.0,107
2022-11-10 15:22:11.129,23.3,26.9,108
2022-11-10 15:22:10.126,23.3,26.9,106
2022-11-10 15:22:08.851,23.3,27.0,107
2022-11-10 15:22:07.848,23.3,27.0,106
2022-11-10 15:22:06.570,23.3,27.0,106
2022-11-10 15:22:05.571,23.3,27.0,104
2022-11-10 15:22:04.292,23.3,27.1,105
2022-11-10 15:22:03.289,23.3,27.1,105
2022-11-10 15:22:02.014,23.3,27.1,105
2022-11-10 15:22:01.011,23.3,27.1,106
2022-11-10 15:21:59.733,23.3,27.1,108
2022-11-10 15:21:58.733,23.3,27.1,108
2022-11-10 15:21:57.456,23.3,27.1,106
2022-11-10 15:21:56.456,23.3,27.1,107
2022-11-10 15:21:55.179,23.3,27.1,108
2022-11-10 15:21:54.175,23.3,27.1,108
2022-11-10 15:21:52.901,23.3,27.0,107
2022-11-10 15:21:51.896,23.3,27.0,107
2022-11-10 15:21:50.619,23.3,27.0,108
2022-11-10 15:21:49.620,23.3,27.0,107
2022-11-10 15:21:48.341,23.4,27.0,107
2022-11-10 15:21:47.338,23.4,27.0,108
2022-11-10 15:21:46.064,23.4,27.0,108
2022-11-10 15:21:45.060,23.4,27.0,106
2022-11-10 15:21:43.782,23.3,26.9,107
2022-11-10 15:21:42.782,23.3,26.9,106
2022-11-10 15:21:41.504,23.3,26.9,106
2022-11-10 15:21:40.501,23.3,26.9,106
2022-11-10 15:21:39.227,23.3,26.8,106
2022-11-10 15:21:38.224,23.3,26.8,105
2022-11-10 15:21:36.945,23.4,26.7,105
2022-11-10 15:21:35.945,23.4,26.7,105
2022-11-10 15:21:34.668,23.3,26.6,105
2022-11-10 15:21:33.668,23.3,26.6,105
2022-11-10 15:21:32.390,23.4,26.5,105
2022-11-10 15:21:31.387,23.4,26.5,105
2022-11-10 15:21:30.112,23.3,26.4,106
2022-11-10 15:21:29.108,23.3,26.4,107
2022-11-10 15:21:27.831,23.3,26.4,107
2022-11-10 15:21:26.831,23.3,26.4,107
2022-11-10 15:21:25.552,23.4,26.4,108
2022-11-10 15:21:24.550,23.4,26.4,107
2022-11-10 15:21:23.276,23.4,26.4,108
2022-11-10 15:21:22.272,23.4,26.4,108
2022-11-10 15:21:20.997,23.4,26.4,108
2022-11-10 15:21:19.994,23.4,26.4,107
2022-11-10 15:21:18.716,23.3,26.4,107
